Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.019333,0.00035736,0.30222,0,0,0,95.483,0.83617,-0.00018256,0.0013293,0.7203,-0.00025871,0.72287,0,0,0,0,0,0,package://matrix_true_description/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://matrix_true_description/meshes/base_link.STL,,22077-0100-000-1;22077-0200-000-1;22077-0300-000-1;22077-0400-000-1;22077-0500-000-1;22077-0600-000-1;22077-0700-000-1;22077-0800-000-1;base_module_cover-1;module_display-1,base_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_right_link,-1.3878E-17,0.00082541,2.7905E-10,0,0,0,1.2499,0.0023164,-7.259E-19,-9.0858E-26,0.0038673,3.5318E-10,0.0023164,0,0,0,0,0,0,package://matrix_true_description/meshes/wheel_right_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://matrix_true_description/meshes/wheel_right_link.STL,,ZLLG65ASM250-4096 SINGLE-2,wheel_right_frame,wheel_right_axis,wheel_right_joint,continuous,0.00370810119881812,-0.2171,0.0850001069853645,0,1.5707963267949,0,base_link,0,-1,0,8,20.944,,,,,,,,,,
wheel_left_link,2.57901044270481E-10,-0.000825408424269397,-1.06553723309977E-10,0,0,0,1.24985940735749,0.00231643096193606,-3.2641346835973E-10,7.64444726106607E-20,0.00386734557091003,1.34859817948389E-10,0.00231643096193606,0,0,0,0,0,0,package://matrix_true_description/meshes/wheel_left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://matrix_true_description/meshes/wheel_left_link.STL,,ZLLG65ASM250-4096 SINGLE-1,wheel_left_frame,wheel_left_axis,wheel_left_right,continuous,0.0037081011988188,0.2171,0.0850001069853643,0,1.5707963267949,0,base_link,0,1,0,8,20.944,,,,,,,,,,
caster_arm_fr_link,-0.00494847238282775,9.07365753419487E-05,-0.0111326023738858,0,0,0,0.0228689686598222,5.46701773578951E-06,1.01849635596166E-09,-1.27604972629729E-06,5.683274105826E-06,9.15384060118732E-10,5.72207125801827E-06,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_arm_fr_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_arm_fr_link.STL,,LRA-VPA 50K-GS10_arm-1,caster_arm_fr_frame,caster_arm_fr_axis,caster_arm_fr_joint,continuous,0.175000000000001,-0.0999999999999988,0.069116,0,0,0,base_link,0,0,1,,,,,,,,,,,,
caster_wheel_fr_link,2.45965642159396E-08,-1.09211185927993E-09,-7.56747059460494E-09,0,0,0,0.0372150073615411,6.83775386210628E-06,7.89881207654632E-12,-5.31617220528368E-11,1.13150193462786E-05,-2.08401338263005E-12,6.83739570177949E-06,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_wheel_fr_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_wheel_fr_link.STL,,LRA-VPA 50K-GS10_wheel-1,caster_wheel_fr_frame,caster_wheel_fr_axis,caster_wheel_fr_joint,continuous,-0.0250000000000008,0,-0.044,0,1.5707963267949,0,caster_arm_fr_link,0,1,0,,,,,,,,,,,,
caster_arm_fl_link,-0.0049484723828338,9.07365753418793E-05,-0.011132602373886,0,0,0,0.0228689686598223,5.46701773578953E-06,1.01849635599667E-09,-1.27604972629728E-06,5.68327410582606E-06,9.15384060100716E-10,5.72207125801832E-06,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_arm_fl_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_arm_fl_link.STL,,LRA-VPA 50K-GS10_arm-2,caster_arm_fl_frame,caster_arm_fl_axis,caster_arm_fl_joint,continuous,0.174999999999999,0.100000000000001,0.069116,0,0,0,base_link,0,0,1,,,,,,,,,,,,
caster_wheel_fl_link,2.45965642228785E-08,-1.09211185927993E-09,-7.56747056684937E-09,0,0,0,0.0372150073615411,6.83775386210629E-06,7.8988120721091E-12,-5.31617220532634E-11,1.13150193462786E-05,-2.08401338252725E-12,6.8373957017795E-06,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_wheel_fl_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_wheel_fl_link.STL,,LRA-VPA 50K-GS10_wheel-6,caster_wheel_fl_frame,caster_wheel_fl_axis,caster_wheel_fl_joint,continuous,-0.0249999999999994,0,-0.0439999999999999,0,1.5707963267949,0,caster_arm_fl_link,0,1,0,,,,,,,,,,,,
caster_arm_rr_link,-0.00494847238282756,9.07365753417821E-05,-0.0111326023738859,0,0,0,0.0228689686598225,5.46701773578956E-06,1.01849635600047E-09,-1.27604972629728E-06,5.68327410582608E-06,9.15384060081404E-10,5.72207125801836E-06,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_arm_rr_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_arm_rr_link.STL,,LRA-VPA 50K-GS10_arm-10,caster_arm_rr_frame,caster_arm_rr_axis,caster_arm_rr_joint,continuous,-0.174999999999999,-0.100000000000001,0.069116,0,0,0,base_link,0,0,1,,,,,,,,,,,,
caster_wheel_rr_link,2.4597E-08,-1.0921E-09,-7.5675E-09,0,0,0,0.037215,6.8378E-06,7.8988E-12,-5.3162E-11,1.1315E-05,-2.084E-12,6.8374E-06,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_wheel_rr_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_wheel_rr_link.STL,,LRA-VPA 50K-GS10_wheel-8,caster_wheel_rr_frame,caster_wheel_rr_axis,caster_wheel_rr_joint,continuous,-0.0250000000000008,0,-0.044,0,1.5707963267949,0,caster_arm_rr_link,0,1,0,,,,,,,,,,,,
caster_arm_rl_link,-0.00494847238283336,9.07365753420319E-05,-0.0111326023738858,0,0,0,0.0228689686598218,5.46701773578946E-06,1.01849635593971E-09,-1.27604972629732E-06,5.68327410582594E-06,9.15384060130709E-10,5.72207125801818E-06,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_arm_rl_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_arm_rl_link.STL,,LRA-VPA 50K-GS10_arm-7,caster_arm_rl_frame,caster_arm_rl_axis,caster_arm_rl_joint,continuous,-0.175000000000001,0.0999999999999989,0.069116,0,0,0,base_link,0,0,1,,,,,,,,,,,,
